"","club","division","saison","HF","match_joue","total_point","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","J27","J28","J29","J30"
"1","C'CHARTRES METROPOLE HANDBALL","D1","2021","H",29,51,1,2,2,3,6,7,10,13,14,15,18,21,22,25,26,27,28,31,34,35,36,37,38,41,44,45,46,49,50,51
"2","CESSON RENNES METROPOLE HB","D1","2021","H",28,46,2,3,5,8,9,10,11,13,14,15,18,20,21,23,24,25,26,27,27,27,30,33,36,37,38,41,42,44,45,46
"3","CHAMBERY SAVOIE HB","D1","2021","H",29,59,1,4,5,6,8,11,14,15,18,20,21,24,24,25,27,30,31,34,37,40,41,42,45,48,49,51,53,55,56,59
"4","DUNKERQUE HANDBALL GRAND LITTORAL","D1","2021","H",27,50,1,3,6,7,10,13,14,15,18,19,20,21,21,22,25,26,26,28,28,31,34,35,36,37,40,41,44,46,49,50
"5","FENIX TOULOUSE HANDBALL","D1","2021","H",27,55,3,4,5,6,7,10,13,14,17,20,23,24,25,27,28,29,29,30,30,31,31,33,36,39,42,45,48,51,52,55
"6","HBC NANTES","D1","2021","H",28,71,3,6,9,11,14,15,15,18,21,24,27,28,29,30,33,36,38,41,44,44,45,47,50,53,56,59,62,65,68,71
"7","ISTRES PROVENCE HANDBALL","D1","2021","H",30,50,3,5,6,8,9,10,11,14,15,16,17,19,20,21,22,25,28,29,30,33,34,35,38,39,40,41,44,45,48,50
"8","LIMOGES","D1","2021","H",30,57,1,4,7,9,12,15,16,19,20,23,24,27,30,31,33,36,39,40,41,42,43,45,46,47,48,51,52,54,55,57
"9","MONTPELLIER HANDBALL","D1","2021","H",29,77,3,6,9,11,14,17,20,22,25,28,31,34,35,38,41,44,47,50,50,53,56,59,60,63,66,68,70,73,76,77
"10","PARIS SAINT-GERMAIN HANDBALL","D1","2021","H",29,84,3,6,9,12,15,18,21,24,27,30,33,36,39,42,44,47,50,53,56,59,62,65,68,69,72,72,75,78,81,84
"11","PROVENCE AIX UNIVERSITE CLUB HANDBALL","D1","2021","H",30,70,1,2,5,8,11,14,17,20,23,26,29,32,35,38,40,43,45,46,47,48,51,54,57,58,59,62,63,64,67,70
"12","SAINT RAPHAEL VAR HANDBALL","D1","2021","H",30,58,2,4,5,8,9,10,11,14,15,17,20,21,24,27,30,31,32,35,38,39,42,45,46,47,50,51,53,54,55,58
"13","TREMBLAY HANDBALL","D1","2021","H",29,37,1,2,4,5,6,7,8,9,10,11,12,13,16,17,18,19,22,25,26,27,28,29,30,31,32,32,33,34,36,37
"14","UNION SPORTIVE IVRY HANDBALL","D1","2021","H",30,46,1,3,4,7,8,9,10,11,12,13,14,15,18,19,22,25,26,27,28,31,32,34,35,38,39,40,41,42,45,46
"15","US CRETEIL HANDBALL","D1","2021","H",27,45,3,4,4,7,8,9,9,10,11,12,13,14,15,18,19,20,21,22,25,26,26,29,30,33,34,37,40,41,42,45
"16","USAM NIMES GARD","D1","2021","H",30,68,3,6,7,8,10,13,16,17,20,23,24,27,30,33,36,37,40,42,43,46,49,50,53,56,59,60,62,65,67,68
"17","ANGERS SCO HANDBALL","D2","2021","H",23,32,1,2,5,6,7,8,8,9,10,12,13,14,17,18,19,20,23,24,25,25,26,26,29,30,31,32,32,32,32,31
"18","BILLERE HANDBALL PAU PYRENEES","D2","2021","H",26,46,1,2,5,6,8,9,12,15,16,18,21,24,25,28,29,31,32,33,34,36,37,38,41,42,45,46,46,46,46,45
"19","CAVIGAL NICE HANDBALL","D2","2021","H",26,50,1,3,4,5,6,9,10,12,15,16,18,21,24,27,30,31,34,37,38,39,42,43,44,45,47,50,50,50,50,47
"20","DIJON METROPOLE HANDBALL","D2","2021","H",26,54,1,4,7,8,9,12,15,16,19,20,23,26,29,30,32,35,36,37,40,42,45,48,49,50,51,54,54,54,54,51
"21","GRAND BESANCON DOUBS HANDBALL","D2","2021","H",26,44,3,6,7,8,9,10,11,13,16,17,18,20,21,22,23,24,27,30,33,35,38,39,40,41,43,44,44,44,44,43
"22","GRAND NANCY METROPOLE HANDBALL","D2","2021","H",23,53,3,6,9,12,15,16,16,19,22,25,28,29,30,31,32,35,38,41,41,44,45,45,48,51,52,53,53,53,53,52
"23","JS CHERBOURGEOISE MANCHE HANDBALL","D2","2021","H",26,61,3,4,7,10,13,16,17,20,21,24,27,30,33,36,39,40,41,44,47,48,49,51,54,57,58,61,61,61,61,58
"24","MASSY ESSONNE HANDBALL","D2","2021","H",25,55,1,2,5,8,11,14,14,17,20,23,25,26,27,30,32,33,34,37,40,41,44,47,50,51,52,55,55,55,55,52
"25","SARAN LOIRET HANDBALL","D2","2021","H",25,66,3,6,7,10,13,14,17,19,22,25,28,31,34,35,38,41,41,44,47,50,53,56,57,60,63,66,66,66,66,63
"26","SARREBOURG MOSELLE SUD HANDBALL","D2","2021","H",22,35,1,2,3,6,7,10,11,13,14,15,16,19,20,21,22,24,24,25,25,25,26,28,28,31,34,35,35,35,35,34
"27","SELESTAT ALSACE HANDBALL","D2","2021","H",25,45,3,6,9,12,15,16,19,20,21,23,24,25,27,28,31,32,33,34,35,36,37,40,41,42,45,45,45,45,45,45
"28","STRASBOURG EUROMETROPOLE HB","D2","2021","H",25,48,1,3,4,5,7,10,13,15,16,17,18,19,20,23,26,29,32,33,34,36,39,40,41,44,45,48,48,48,48,45
"29","UMS PONTAULT-COMBAULT HANDBALL","D2","2021","H",26,68,3,6,7,10,13,16,17,18,21,24,25,27,29,32,35,38,41,44,47,50,53,56,59,62,65,68,68,68,68,65
"30","VALENCE HANDBALL","D2","2021","H",25,45,3,4,5,6,7,8,11,13,14,16,19,20,23,26,27,30,31,32,33,36,37,38,38,41,44,45,45,45,45,44
"31","C'CHARTRES METROPOLE HANDBALL","D1","2122","H",30,52,3,4,6,7,10,13,14,17,18,19,20,23,24,27,28,31,32,33,35,36,37,40,41,44,45,46,47,48,49,52
"32","CESSON RENNES METROPOLE HB","D1","2122","H",30,57,3,4,7,8,11,12,15,18,20,21,24,25,27,28,30,33,36,37,40,41,44,45,46,47,48,49,52,53,54,57
"33","CHAMBERY SAVOIE HB","D1","2122","H",30,69,3,4,7,10,11,12,15,18,19,22,23,26,27,30,33,36,37,40,41,44,46,47,50,53,56,59,62,65,66,69
"34","DUNKERQUE HANDBALL GRAND LITTORAL","D1","2122","H",30,50,1,2,3,4,7,8,11,12,15,18,19,20,21,24,25,26,27,30,31,34,35,38,41,42,43,44,45,46,49,50
"35","FENIX TOULOUSE HANDBALL","D1","2122","H",30,62,1,2,3,6,7,8,11,14,16,18,21,24,26,29,32,33,36,37,39,42,45,48,51,54,55,56,59,60,61,62
"36","GRAND NANCY METROPOLE HANDBALL","D1","2122","H",30,41,1,2,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,32,33,36,39,40,41
"37","HBC NANTES","D1","2122","H",30,79,1,4,7,9,10,13,16,19,22,25,28,31,34,35,38,41,44,47,50,51,54,57,60,61,64,67,70,73,76,79
"38","ISTRES PROVENCE HANDBALL","D1","2122","H",30,47,1,2,4,7,8,9,10,12,13,14,17,18,20,22,23,24,26,27,28,29,30,31,32,33,36,37,38,41,44,47
"39","LIMOGES","D1","2122","H",30,48,1,4,5,6,9,11,12,13,16,18,19,20,23,24,27,28,29,32,35,36,37,38,39,40,41,42,43,44,47,48
"40","MONTPELLIER HANDBALL","D1","2122","H",30,71,2,5,6,9,10,13,14,17,18,19,22,23,26,29,32,35,36,39,42,45,48,51,54,57,58,61,62,65,68,71
"41","PARIS SAINT-GERMAIN HANDBALL","D1","2122","H",30,90,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90
"42","PROVENCE AIX UNIVERSITE CLUB HANDBALL","D1","2122","H",30,74,3,6,7,9,12,15,18,19,22,25,28,31,34,35,38,41,44,47,48,51,53,54,57,60,63,66,67,70,73,74
"43","SAINT RAPHAEL VAR HANDBALL","D1","2122","H",30,61,2,5,8,11,12,14,17,18,21,22,25,28,29,32,33,34,36,37,40,41,42,45,46,49,52,53,56,59,60,61
"44","SARAN LOIRET HANDBALL","D1","2122","H",30,42,1,2,3,4,7,10,11,12,13,16,17,18,19,20,21,22,25,26,27,28,31,32,33,34,35,38,39,40,41,42
"45","US CRETEIL HANDBALL","D1","2122","H",30,51,3,6,7,8,11,12,13,14,15,17,18,21,23,25,26,27,30,33,34,37,40,41,42,43,44,47,48,49,50,51
"46","USAM NIMES GARD","D1","2122","H",30,66,3,6,9,12,13,14,15,17,20,22,23,24,27,28,30,33,34,35,37,40,41,44,47,50,53,56,59,60,63,66
"47","ANGERS SCO HANDBALL","D2","2122","H",30,43,1,2,5,6,7,8,10,11,12,13,16,17,19,20,21,22,23,24,25,28,29,30,31,33,34,37,38,39,40,43
"48","BILLERE HANDBALL PAU PYRENEES","D2","2122","H",30,62,3,5,6,7,8,10,12,15,16,19,20,23,24,27,28,30,31,32,35,38,41,42,45,47,50,52,55,58,61,62
"49","CAEN HANDBALL","D2","2122","H",30,55,1,2,3,6,7,10,12,15,16,19,22,23,26,29,32,34,35,37,40,41,42,43,44,45,46,47,50,53,54,55
"50","CAVIGAL NICE HANDBALL","D2","2122","H",30,67,3,4,7,8,10,12,15,16,17,18,21,24,27,30,33,34,37,39,42,43,45,48,50,52,53,55,58,61,64,67
"51","DIJON METROPOLE HANDBALL","D2","2122","H",30,67,3,6,7,10,13,16,18,19,22,25,28,29,30,33,34,37,40,43,44,45,47,48,51,52,55,57,60,63,64,67
"52","GRAND BESANCON DOUBS HANDBALL","D2","2122","H",30,49,1,2,4,5,7,10,12,15,18,19,21,22,24,25,26,27,30,31,32,33,36,37,38,39,41,43,44,45,48,49
"53","JS CHERBOURGEOISE MANCHE HANDBALL","D2","2122","H",30,73,1,4,5,6,9,12,15,16,19,21,24,27,30,31,34,36,39,42,43,46,49,52,54,57,60,63,66,69,72,73
"54","MASSY ESSONNE HANDBALL","D2","2122","H",30,63,3,6,9,10,13,14,15,18,19,22,23,24,25,28,31,32,34,35,38,41,43,46,49,50,53,55,56,57,60,63
"55","PONTAULT-COMBAULT HANDBALL","D2","2122","H",30,72,1,4,7,10,13,15,16,17,20,21,23,24,27,30,33,36,38,41,44,47,50,53,56,59,60,62,63,66,69,72
"56","SARREBOURG MOSELLE SUD HANDBALL","D2","2122","H",30,52,1,2,5,6,7,8,11,12,15,18,19,22,23,24,25,28,30,31,33,36,37,40,41,44,45,46,49,50,51,52
"57","SELESTAT ALSACE HANDBALL","D2","2122","H",30,67,3,6,9,12,15,16,18,19,22,24,25,26,27,30,33,36,39,41,44,45,46,47,50,51,54,57,60,61,64,67
"58","STRASBOURG EUROMETROPOLE HB","D2","2122","H",30,49,1,3,4,7,8,11,12,13,14,15,18,21,24,25,26,29,30,33,35,36,37,38,39,42,44,45,46,47,48,49
"59","TREMBLAY HANDBALL","D2","2122","H",30,65,3,4,7,10,13,14,16,19,22,25,26,29,30,31,34,36,38,41,42,43,45,48,50,52,55,57,60,61,62,65
"60","UNION SPORTIVE IVRY HANDBALL","D2","2122","H",30,82,3,6,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58,61,64,67,70,71,74,75,78,81,82
"61","VALENCE HANDBALL","D2","2122","H",30,46,3,4,5,8,9,11,12,15,16,17,18,19,20,21,22,23,24,26,27,30,33,36,38,39,41,42,43,44,45,46
"62","VILLEURBANNE HANDBALL","D2","2122","H",30,48,1,4,6,7,8,9,11,14,15,16,17,20,23,24,25,26,27,28,29,30,31,32,33,36,38,40,41,44,45,48
"63","C'CHARTRES METROPOLE HANDBALL","D1","2223","H",30,48,3,4,5,6,7,10,11,13,16,17,18,19,20,23,26,27,28,29,30,31,34,35,36,37,38,40,41,42,45,48
"64","CESSON RENNES METROPOLE HB","D1","2223","H",30,55,3,6,7,10,13,14,17,20,21,24,25,26,27,28,30,31,32,33,36,37,38,41,44,45,48,49,50,52,53,55
"65","CHAMBERY SAVOIE HB","D1","2223","H",30,72,1,4,7,10,13,14,17,18,19,22,25,26,29,32,34,37,40,43,46,49,50,53,56,59,60,63,66,68,71,72
"66","DUNKERQUE HANDBALL GRAND LITTORAL","D1","2223","H",30,56,3,4,5,8,11,12,13,15,18,21,24,25,26,27,29,30,33,34,35,38,39,40,43,44,47,48,51,54,55,56
"67","FENIX TOULOUSE HANDBALL","D1","2223","H",30,67,3,4,7,8,11,12,15,17,20,21,24,27,30,31,34,35,38,41,43,44,46,47,50,53,56,59,60,61,64,67
"68","HBC NANTES","D1","2223","H",30,80,3,6,9,12,15,18,19,22,25,28,29,32,35,38,39,42,45,48,51,54,56,59,62,65,68,71,74,76,77,80
"69","ISTRES PROVENCE HANDBALL","D1","2223","H",30,44,1,2,3,4,5,6,9,10,11,12,15,16,17,19,21,24,25,27,28,29,30,31,34,35,36,38,39,42,43,44
"70","LIMOGES","D1","2223","H",30,55,1,4,7,8,9,10,13,14,17,18,21,24,27,28,29,32,33,35,37,38,39,42,43,46,49,50,51,52,53,55
"71","MONTPELLIER HANDBALL","D1","2223","H",30,82,3,4,7,10,13,16,19,22,25,28,31,34,37,40,41,44,47,50,53,56,59,62,63,66,67,70,73,76,79,82
"72","PARIS SAINT-GERMAIN HANDBALL","D1","2223","H",30,84,3,6,7,10,13,16,19,22,25,28,31,34,37,38,41,44,47,50,51,54,57,60,63,66,69,72,75,78,81,84
"73","PROVENCE AIX UNIVERSITE CLUB HANDBALL","D1","2223","H",30,54,1,4,7,10,11,14,17,18,19,20,23,26,28,29,32,33,34,35,36,37,39,42,43,46,47,48,51,52,53,54
"74","SAINT RAPHAEL VAR HANDBALL","D1","2223","H",30,56,3,4,5,6,7,10,11,14,15,18,19,22,25,26,27,28,31,34,35,38,41,42,43,44,45,46,49,50,53,56
"75","SELESTAT ALSACE HANDBALL","D1","2223","H",30,42,1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,20,21,24,25,26,28,29,32,33,34,36,37,40,41,42
"76","US CRETEIL HANDBALL","D1","2223","H",30,46,1,2,5,6,7,10,11,12,15,16,17,18,19,21,24,25,28,29,32,33,35,36,37,38,41,42,43,44,45,46
"77","US IVRY HANDBALL","D1","2223","H",30,48,1,4,5,8,9,10,11,13,14,15,16,17,19,22,23,24,25,26,29,32,34,35,36,37,38,40,41,44,47,48
"78","USAM NIMES GARD","D1","2223","H",30,71,1,4,7,8,11,14,15,18,19,22,23,26,27,30,33,36,37,38,41,44,47,50,51,54,57,60,63,65,68,71
"79","BESANCON HANDBALL","D2","2223","H",30,47,1,2,3,6,7,10,11,12,13,14,17,20,21,22,23,24,25,28,29,32,35,36,37,40,41,42,43,44,45,47
"80","BILLERE HANDBALL PAU PYRENEES","D2","2223","H",30,62,3,4,5,8,9,12,13,14,17,20,22,23,24,27,30,31,32,33,36,37,39,40,43,46,49,52,53,56,59,62
"81","BORDEAUX HANDBALL","D2","2223","H",30,64,3,6,9,12,13,14,17,18,21,22,23,26,28,29,30,33,36,38,39,40,42,45,48,49,51,54,55,58,61,64
"82","CAEN HANDBALL","D2","2223","H",30,63,3,6,9,10,11,12,13,16,19,22,24,26,28,29,32,35,38,39,40,43,46,49,50,51,52,53,56,57,60,63
"83","CHERBOURG HB","D2","2223","H",30,53,1,4,5,6,9,10,11,14,15,18,19,20,22,23,24,26,29,30,33,35,38,39,40,43,46,47,48,51,52,53
"84","DIJON METROPOLE HANDBALL","D2","2223","H",30,77,3,6,9,10,13,16,19,22,23,26,29,32,35,37,40,43,46,48,51,53,56,59,62,63,66,69,70,73,74,77
"85","FRONTIGNAN THAU HANDBALL","D2","2223","H",30,72,3,4,7,10,12,13,16,19,22,23,24,27,30,33,36,39,42,45,48,51,54,55,58,59,62,63,66,67,70,72
"86","MASSY ESSONNE HANDBALL","D2","2223","H",30,54,3,6,7,8,9,12,13,14,17,18,21,24,27,29,32,34,35,36,37,38,39,40,43,46,47,48,49,50,53,54
"87","NANCY METROPOLE","D2","2223","H",30,59,3,4,5,6,9,10,13,16,17,20,21,22,25,28,29,32,33,36,39,40,41,43,44,46,47,50,53,54,57,59
"88","PONTAULT-COMBAULT HANDBALL","D2","2223","H",30,73,3,6,8,11,14,17,20,23,24,27,30,31,32,35,38,41,42,45,48,51,52,55,58,61,64,65,68,71,72,73
"89","SARAN LOIRET HANDBALL","D2","2223","H",30,78,1,4,7,10,13,15,18,21,22,25,28,31,33,36,39,40,43,44,47,50,53,56,57,60,63,66,69,72,75,78
"90","SARREBOURG MOSELLE SUD HANDBALL","D2","2223","H",30,61,1,2,5,8,11,14,17,18,21,22,23,24,27,28,29,30,31,34,37,38,39,42,45,46,48,51,54,57,58,61
"91","STRASBOURG HANDBALL","D2","2223","H",30,35,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,20,21,22,23,24,25,26,27,28,29,32,33,34,35
"92","TREMBLAY HANDBALL","D2","2223","H",30,77,1,4,6,9,12,15,18,21,24,27,30,33,36,38,39,42,45,48,49,52,53,56,59,62,65,68,71,72,75,77
"93","VALENCE HANDBALL","D2","2223","H",30,47,1,2,3,4,6,8,9,10,12,13,16,18,19,22,25,26,27,30,31,32,35,36,37,39,40,43,44,45,46,47
"94","VILLEURBANNE HANDBALL","D2","2223","H",30,38,1,2,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,25,26,28,29,30,31,32,33,36,37,38
"95","C'CHARTRES METROPOLE HANDBALL","D1","2324","H",30,50,1,2,5,6,9,10,13,16,17,18,19,20,21,22,25,26,29,31,34,37,38,39,40,41,42,43,44,47,48,50
"96","CESSON RENNES METROPOLE HB","D1","2324","H",30,51,1,2,3,4,5,8,9,12,13,14,15,18,19,20,21,24,25,28,31,32,35,37,39,42,43,44,45,48,49,51
"97","CHAMBERY SAVOIE HB","D1","2324","H",30,61,1,2,5,6,9,12,13,14,15,18,21,22,25,28,31,34,37,38,39,40,43,44,45,48,50,53,54,57,58,61
"98","DIJON METROPOLE HANDBALL","D1","2324","H",30,40,2,3,4,5,6,7,8,10,11,12,15,16,17,18,19,22,23,24,25,26,27,28,29,32,35,36,37,38,39,40
"99","DUNKERQUE HANDBALL GRAND LITTORAL","D1","2324","H",30,56,1,4,5,6,8,9,12,13,14,17,18,19,22,23,26,27,28,31,34,35,38,41,42,43,46,47,50,52,55,56
"100","FENIX TOULOUSE HANDBALL","D1","2324","H",30,69,3,6,7,10,13,16,19,22,25,28,29,30,31,34,37,39,40,43,45,48,49,52,55,56,58,59,62,65,68,69
"101","HBC NANTES","D1","2324","H",30,84,3,6,9,11,12,15,18,21,24,27,30,33,36,37,40,43,46,48,51,54,57,60,63,66,69,72,75,78,81,84
"102","LIMOGES","D1","2324","H",30,66,1,4,5,7,10,13,14,15,18,21,24,27,28,31,34,36,37,38,41,42,43,46,49,52,55,56,58,60,63,66
"103","MONTPELLIER HANDBALL","D1","2324","H",30,78,3,6,9,12,15,18,21,24,27,29,30,33,36,37,38,41,44,45,48,51,54,57,60,63,65,68,71,72,75,78
"104","PARIS SAINT-GERMAIN HANDBALL","D1","2324","H",30,85,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,56,59,62,65,66,69,72,75,78,79,82,85
"105","PROVENCE AIX UNIVERSITE CLUB HANDBALL","D1","2324","H",30,60,3,4,7,10,11,12,15,18,19,20,21,24,25,28,31,32,35,36,39,42,43,44,45,48,51,54,57,58,59,60
"106","SAINT-RAPHAEL VHB","D1","2324","H",30,58,1,4,7,10,12,14,17,18,21,23,24,27,30,31,32,35,36,39,40,43,44,46,47,48,50,51,52,53,56,58
"107","SARAN LOIRET HANDBALL","D1","2324","H",30,47,3,4,5,8,9,10,11,12,13,15,16,19,20,23,24,25,26,28,29,32,33,34,36,37,38,41,42,43,46,47
"108","US CRETEIL HANDBALL","D1","2324","H",30,46,1,2,3,4,5,7,8,10,13,15,18,19,20,21,22,23,24,26,27,28,29,30,33,34,35,38,40,43,44,46
"109","US IVRY HANDBALL","D1","2324","H",30,47,2,3,4,5,6,7,8,9,12,13,16,17,20,23,24,25,28,29,30,31,34,35,38,39,40,41,42,43,44,47
"110","USAM NIMES GARD","D1","2324","H",30,62,3,6,9,12,15,16,17,18,19,20,23,24,27,30,31,32,35,38,39,40,43,46,49,50,51,54,57,60,61,62
"111","ANGERS SCO HANDBALL","D2","2324","H",28,41,1,4,5,8,11,12,13,13,16,18,19,21,22,23,24,25,26,27,27,28,29,31,32,33,34,35,36,37,40,41
"112","BILLERE HANDBALL PAU PYRENEES","D2","2324","H",28,52,0,1,2,3,4,5,8,9,12,13,14,17,20,23,26,29,32,35,37,38,38,39,40,43,44,45,47,48,49,52
"113","CAEN HANDBALL","D2","2324","H",28,46,3,4,5,7,8,9,10,11,12,14,17,17,18,19,20,21,24,25,26,29,30,31,31,34,37,40,41,44,45,46
"114","FRONTIGNAN THAU HANDBALL","D2","2324","H",28,61,3,4,7,10,13,14,16,17,20,21,24,27,30,31,31,32,33,33,36,37,40,41,44,47,50,53,55,58,59,61
"115","GRAND BESANCON DOUBS HANDBALL","D2","2324","H",28,55,3,4,4,5,8,11,12,13,14,15,16,18,19,22,23,26,27,30,31,34,37,40,43,44,47,48,51,52,52,55
"116","HANDBALL CLUB COURNON D'AUVERGNE","D2","2324","H",28,46,1,2,5,7,8,9,11,14,15,15,18,19,22,23,24,27,28,29,30,31,32,33,36,39,40,43,43,44,45,46
"117","ISTRES PROVENCE HANDBALL","D2","2324","H",28,68,3,6,7,10,10,11,14,17,20,21,22,25,28,31,34,34,36,39,42,45,48,51,54,57,58,59,61,62,65,68
"118","JS CHERBOURGEOISE MANCHE HANDBALL","D2","2324","H",28,61,1,4,5,6,7,10,11,14,15,18,18,20,23,25,28,29,32,35,38,41,42,43,44,44,47,50,53,56,59,61
"119","MASSY ESSONNE HANDBALL","D2","2324","H",28,49,1,2,5,6,9,12,12,13,15,16,17,19,20,21,24,25,28,29,31,32,35,38,39,40,41,41,44,47,48,49
"120","NANCY METROPOLE","D2","2324","H",28,53,1,4,7,8,9,12,15,16,18,21,22,25,25,28,29,30,31,32,33,34,37,37,38,41,44,45,48,49,52,53
"121","PONTAULT-COMBAULT HANDBALL","D2","2324","H",28,65,3,6,9,12,15,18,21,24,24,27,30,31,32,34,35,36,39,42,45,48,51,54,55,56,57,58,60,63,65,57
"122","SARREBOURG MOSELLE SUD HANDBALL","D2","2324","H",28,49,1,2,3,3,4,5,6,9,10,11,14,15,18,21,24,27,28,31,32,32,33,34,37,38,41,42,43,46,48,49
"123","SELESTAT ALSACE HANDBALL","D2","2324","H",28,64,3,6,7,10,11,14,17,20,23,26,29,30,31,31,34,37,39,40,41,44,45,47,50,51,51,54,55,58,61,64
"124","TREMBLAY HANDBALL","D2","2324","H",28,82,3,3,6,9,12,15,18,21,24,27,30,33,36,39,40,43,46,49,52,55,58,61,64,67,70,73,76,76,79,82
"125","VALENCE HANDBALL","D2","2324","H",28,48,1,4,7,8,11,11,12,13,14,17,18,19,20,21,24,27,27,28,31,32,33,36,37,38,39,42,43,44,45,48
