"","club","division","saison","HF","match_joue","total_point","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26"
"1","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,3,6,7,10,13,14,17,18,19,22,23,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26
"2","BREST BRETAGNE HANDBALL","D1","2021","F",13,37,3,6,9,12,15,18,21,24,27,30,33,34,37,37,37,37,37,37,37,37,37,37,37,37,37,37
"3","CHAMBRAY TOURAINE HANDBALL","D1","2021","F",13,28,2,3,6,9,10,11,12,15,18,21,24,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28
"4","ES BESANCON FEMININ","D1","2021","F",13,29,3,6,7,10,11,14,17,18,19,20,23,26,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"5","FLEURY LOIRET HANDBALL","D1","2021","F",13,21,3,6,7,8,11,12,13,16,17,18,19,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"6","HANDBALL PLAN DE CUQUES","D1","2021","F",13,17,1,2,5,6,9,10,11,12,13,14,15,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"7","JDA DIJON HANDBALL","D1","2021","F",13,18,2,3,4,5,6,7,8,9,10,12,13,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"8","MERIGNAC HANDBALL","D1","2021","F",13,18,1,2,3,4,7,8,9,10,12,13,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"9","METZ HANDBALL","D1","2021","F",13,37,3,6,9,12,15,18,21,24,27,28,31,34,37,37,37,37,37,37,37,37,37,37,37,37,37,37
"10","NANTES ATLANTIQUE HANDBALL","D1","2021","F",13,31,3,4,7,8,9,12,15,18,19,22,25,28,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"11","OGC NICE COTE D'AZUR HANDBALL","D1","2021","F",13,29,1,4,5,6,7,10,13,14,17,20,23,26,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"12","PARIS","D1","2021","F",13,30,1,4,7,10,13,16,17,18,21,23,24,27,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"13","ST AMAND HANDBALL - PORTE DU HAINAUT","D1","2021","F",13,20,1,2,3,6,7,10,11,14,16,17,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"14","TOULON","D1","2021","F",13,21,1,2,5,6,7,8,11,12,15,18,19,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"15","ACHENHEIM TRUCHTERSHEIM","D2","2021","F",14,29,3,4,7,9,12,15,16,17,20,23,24,27,28,29,29,29,29,29,29,29,29,29,29,29,29,29
"16","AS CANNES-MANDELIEU HANDBALL","D2","2021","F",14,22,1,2,5,6,7,10,11,12,15,16,17,20,21,22,22,22,22,22,22,22,22,22,22,22,22,22
"17","ASUL VAULX EN VELIN","D2","2021","F",14,29,1,4,7,8,9,12,15,18,19,22,23,24,27,29,29,29,29,29,29,29,29,29,29,29,29,29
"18","AUNIS HB LA ROCHELLE PERIGNY","D2","2021","F",14,18,1,2,3,4,5,6,9,10,11,12,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18
"19","BOUILLARGUES HANDBALL NIMES METROPOLE","D2","2021","F",14,32,1,4,5,8,11,14,17,18,20,23,26,28,29,32,32,32,32,32,32,32,32,32,32,32,32,32
"20","CELLES SUR BELLE MELLOIS EN POITOU","D2","2021","F",14,42,3,6,9,12,15,18,21,24,27,30,33,36,39,42,42,42,42,42,42,42,42,42,42,42,42,42
"21","CLUB ATHLETIQUE BEGLAIS","D2","2021","F",14,28,3,4,5,8,11,12,13,16,18,21,24,25,26,28,28,28,28,28,28,28,28,28,28,28,28,28
"22","HANDBALL CLERMONT AUVERGNE METROPOLE","D2","2021","F",14,27,3,4,7,10,11,12,15,16,17,18,21,23,24,27,27,27,27,27,27,27,27,27,27,27,27,27
"23","HAVRE ATHLETIC CLUB HB","D2","2021","F",14,34,3,6,7,10,13,16,19,20,23,26,27,28,31,34,34,34,34,34,34,34,34,34,34,34,34,34
"24","HB OCTEVILLE SUR MER","D2","2021","F",14,28,1,4,7,10,11,12,13,16,17,18,21,22,25,28,28,28,28,28,28,28,28,28,28,28,28,28
"25","LE POUZIN HB","D2","2021","F",14,16,1,2,3,4,5,6,7,8,9,10,11,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16
"26","NOISY LE GRAND HANDBALL","D2","2021","F",14,24,1,4,5,6,7,10,11,12,13,16,19,20,23,24,24,24,24,24,24,24,24,24,24,24,24,24
"27","ROCHECHOUART-ST-JUNIEN HANDBALL","D2","2021","F",14,24,3,6,7,8,11,12,13,14,17,18,19,20,23,24,24,24,24,24,24,24,24,24,24,24,24,24
"28","SAINT GREGOIRE RENNES METROPOLE HB","D2","2021","F",14,25,3,4,5,6,7,8,11,14,17,18,19,22,24,25,25,25,25,25,25,25,25,25,25,25,25,25
"29","SAMBRE AVESNOIS HANDBALL","D2","2021","F",14,31,1,2,5,8,11,14,15,18,21,22,23,26,28,31,31,31,31,31,31,31,31,31,31,31,31,31
"30","STELLA SPORTS SAINT MAUR HANDBALL","D2","2021","F",14,33,3,6,9,11,14,15,18,21,22,25,28,31,32,33,33,33,33,33,33,33,33,33,33,33,33,33
"31","BOURG DE PEAGE DROME HANDBALL","D1","2122","F",26,61,3,6,9,12,15,18,19,22,25,27,28,31,34,35,38,39,42,43,46,47,50,51,54,57,60,61
"32","BREST BRETAGNE HANDBALL","D1","2122","F",26,68,1,4,7,10,13,16,17,20,21,24,27,30,33,36,39,42,45,48,51,54,57,60,61,64,67,68
"33","CELLES SUR BELLE MELLOIS EN POITOU","D1","2122","F",26,34,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,24,26,27,28,29,30,32,33,34
"34","CHAMBRAY TOURAINE HANDBALL","D1","2122","F",26,53,1,2,3,6,9,11,14,17,19,20,21,24,27,30,33,36,37,38,40,41,42,45,46,47,50,53
"35","ES BESANCON FEMININ","D1","2122","F",26,61,1,4,7,8,9,12,15,16,19,22,23,26,29,30,31,34,37,40,43,46,49,52,55,56,58,61
"36","FLEURY LOIRET HANDBALL","D1","2122","F",26,32,1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,29,32
"37","HANDBALL PLAN DE CUQUES","D1","2122","F",26,38,1,2,3,6,7,8,11,12,13,14,15,18,19,20,21,22,23,26,27,28,29,32,33,34,36,38
"38","JDA DIJON HANDBALL","D1","2122","F",26,47,2,5,6,7,10,13,16,17,20,21,22,23,24,27,30,31,32,33,34,37,38,39,42,43,44,47
"39","LES NEPTUNES DE NANTES","D1","2122","F",26,58,3,6,7,8,11,12,13,16,19,22,25,26,27,30,33,36,39,40,43,44,47,48,51,54,55,58
"40","MERIGNAC HANDBALL","D1","2122","F",26,42,2,3,5,8,9,11,14,15,16,19,22,23,24,25,26,27,28,29,30,33,34,37,38,40,41,42
"41","METZ HANDBALL","D1","2122","F",26,78,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78
"42","OGC NICE COTE D'AZUR HANDBALL","D1","2122","F",26,51,1,2,4,5,6,7,10,13,15,18,21,22,25,26,27,30,31,34,37,40,43,44,45,46,49,51
"43","PARIS","D1","2122","F",26,63,3,6,9,12,15,16,17,20,23,25,26,29,32,35,38,39,42,45,46,49,52,55,58,61,62,63
"44","TOULON METROPOLE VAR HANDBALL","D1","2122","F",26,42,3,4,7,8,9,10,11,12,13,14,17,18,19,22,23,26,29,30,31,32,33,34,37,40,41,42
"45","ACHENHEIM TRUCHTERSHEIM","D2","2122","F",26,53,3,6,9,10,13,16,17,20,21,23,24,25,28,31,32,35,36,37,38,39,42,43,46,49,50,53
"46","AS CANNES-MANDELIEU HANDBALL","D2","2122","F",26,26,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
"47","ASUL VAULX EN VELIN","D2","2122","F",26,48,1,4,7,8,9,12,15,16,19,22,23,24,25,26,29,32,34,35,36,38,41,44,45,46,47,48
"48","BOUILLARGUES HANDBALL NIMES METROPOLE","D2","2122","F",26,59,3,6,7,8,11,14,17,18,20,21,24,27,28,31,34,35,38,41,42,45,47,50,52,53,56,59
"49","CLUB ATHLETIQUE BEGLAIS","D2","2122","F",26,52,3,6,7,10,13,16,17,18,20,22,25,28,29,30,31,32,35,36,39,40,41,42,43,46,49,52
"50","HANDBALL CLERMONT AUVERGNE METROPOLE","D2","2122","F",26,51,1,2,3,6,7,10,11,13,16,17,20,23,26,27,30,31,34,35,38,39,42,43,46,49,50,51
"51","HAVRE ATHLETIC CLUB HB","D2","2122","F",26,58,3,4,7,10,11,12,13,15,18,19,22,25,26,29,31,34,35,38,41,44,45,48,51,52,55,58
"52","HB OCTEVILLE SUR MER","D2","2122","F",26,39,1,2,3,6,7,8,9,10,11,12,15,18,19,22,23,24,26,29,30,31,32,33,34,35,38,39
"53","HBC AULNOYE AYMERIES","D2","2122","F",26,66,3,6,9,10,13,16,19,22,25,26,27,28,31,34,36,39,42,45,46,49,51,54,57,60,63,66
"54","NOISY LE GRAND HANDBALL","D2","2122","F",26,55,3,4,7,10,11,12,15,18,21,24,25,26,29,31,32,35,36,39,42,45,46,49,50,53,54,55
"55","RENNES METROPOLE HB","D2","2122","F",26,44,1,4,5,6,7,8,9,12,13,16,17,18,19,21,24,25,26,27,30,32,35,38,41,42,43,44
"56","ROCHECHOUART-ST-JUNIEN HANDBALL","D2","2122","F",26,38,1,2,3,4,7,8,11,12,13,16,19,20,23,24,25,26,27,28,29,30,31,32,35,36,37,38
"57","ST AMAND HANDBALL - PORTE DU HAINAUT","D2","2122","F",26,71,3,6,9,12,15,16,19,22,25,28,29,32,35,38,41,44,47,50,53,56,59,60,62,65,68,71
"58","STELLA SAINT-MAUR HANDBALL","D2","2122","F",26,68,1,2,5,8,11,14,17,20,21,24,27,30,33,34,37,40,43,46,49,52,55,58,59,62,65,68
"59","BREST BRETAGNE HANDBALL","D1","2223","F",24,62,3,6,9,12,15,18,21,22,25,25,28,31,32,35,38,39,42,45,46,47,50,53,56,59,59,62
"60","CELLES SUR BELLE MELLOIS EN POITOU","D1","2223","F",24,38,3,6,9,10,10,11,12,13,16,17,18,19,20,22,25,25,26,27,28,31,32,34,35,36,37,38
"61","CHAMBRAY TOURAINE HANDBALL","D1","2223","F",24,52,3,6,7,7,10,11,14,17,18,19,22,25,28,29,32,35,36,39,40,41,44,44,47,48,51,52
"62","ES BESANCON FEMININ","D1","2223","F",24,52,3,4,6,9,10,11,12,13,13,16,19,22,24,25,26,28,28,29,32,35,38,41,44,47,50,52
"63","HANDBALL PLAN DE CUQUES","D1","2223","F",24,40,3,4,7,8,9,12,13,14,15,18,18,19,20,21,22,23,24,25,28,29,32,35,36,39,40,40
"64","JDA DIJON HANDBALL","D1","2223","F",24,52,1,2,2,5,8,9,12,15,18,19,20,21,24,27,28,31,34,37,38,41,44,45,45,48,49,52
"65","LES NEPTUNES DE NANTES","D1","2223","F",24,56,1,4,7,10,13,16,16,19,20,23,24,25,27,30,33,36,39,40,43,46,46,48,51,52,53,56
"66","MERIGNAC HANDBALL","D1","2223","F",24,36,1,2,3,4,5,6,9,10,13,16,17,20,20,21,22,23,25,28,28,30,31,32,33,34,35,36
"67","METZ HANDBALL","D1","2223","F",24,72,0,3,6,9,12,15,18,21,24,27,30,33,36,36,39,42,45,48,51,54,57,60,63,66,69,72
"68","OGC NICE COTE D'AZUR HANDBALL","D1","2223","F",24,47,1,2,3,4,5,8,9,12,13,16,19,19,21,24,27,28,31,32,35,35,36,37,40,41,44,47
"69","PARIS","D1","2223","F",24,51,3,6,8,11,14,14,17,18,21,22,25,26,29,31,31,34,36,39,41,42,43,46,47,48,49,51
"70","ST AMAND HANDBALL - PORTE DU HAINAUT","D1","2223","F",24,34,1,1,2,3,4,5,6,9,10,11,12,15,16,19,20,22,23,24,25,27,28,29,30,30,33,34
"71","TOULON METROPOLE VAR HANDBALL","D1","2223","F",24,32,1,2,3,4,5,8,9,9,10,11,12,13,15,16,17,18,19,19,21,22,23,24,25,28,31,32
"72","ACHENHEIM TRUCHTERSHEIM","D2","2223","F",24,63,3,6,7,10,13,16,19,22,25,26,29,29,32,33,34,37,40,43,46,49,52,52,55,58,60,63
"73","ASUL VAULX EN VELIN","D2","2223","F",24,38,1,1,4,5,8,9,10,11,12,13,15,18,19,20,20,21,22,23,25,26,27,30,33,34,37,38
"74","BOUILLARGUES HANDBALL NIMES METROPOLE","D2","2223","F",24,45,1,4,4,7,8,9,10,13,16,19,20,23,24,25,28,28,30,33,34,35,36,37,40,43,44,45
"75","CLUB ATHLETIQUE BEGLAIS","D2","2223","F",24,43,3,6,7,10,11,12,15,15,16,17,18,19,22,25,28,29,29,30,31,32,33,34,37,40,42,43
"76","HANDBALL CLERMONT AUVERGNE METROPOLE","D2","2223","F",24,56,1,4,7,7,10,13,14,15,16,19,22,25,27,30,33,36,39,42,44,47,48,49,52,53,53,56
"77","HAVRE ATHLETIC CLUB HB","D2","2223","F",24,45,1,4,7,8,9,12,13,16,17,17,20,21,22,23,26,29,30,33,34,35,36,39,40,40,42,45
"78","LOMME LILLE METROPOLE HB","D2","2223","F",24,41,0,1,2,3,4,7,8,11,14,17,18,19,22,22,23,24,26,27,30,33,36,37,38,39,40,41
"79","NOISY LE GRAND HANDBALL","D2","2223","F",24,55,3,4,7,8,9,12,15,16,19,22,24,27,27,30,31,34,37,40,43,46,46,49,50,51,54,55
"80","PALENTE BESANCON HANDBALL","D2","2223","F",24,36,1,2,3,4,7,8,8,9,12,15,16,17,18,19,20,21,23,24,25,25,28,29,30,31,33,36
"81","SAINT GREGOIRE RENNES METROPOLE HB","D2","2223","F",24,38,3,4,5,8,9,10,11,12,12,13,14,17,18,21,22,25,27,27,28,29,30,31,32,33,35,38
"82","SAMBRE AVESNOIS HANDBALL","D2","2223","F",24,54,3,4,5,8,8,11,14,17,18,19,22,23,26,29,32,33,36,37,40,41,44,47,48,51,54,54
"83","STELLA SAINT-MAUR HANDBALL","D2","2223","F",24,66,3,6,9,12,15,15,18,21,24,27,30,33,36,39,42,43,44,47,47,50,53,56,59,62,63,66
"84","TOULOUSE FEMININ HANDBALL","D2","2223","F",24,44,1,2,5,6,9,10,13,14,15,16,16,17,19,20,21,24,25,26,29,32,35,38,38,41,43,44
"85","BREST BRETAGNE HANDBALL","D1","2324","F",24,72,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,45,48,51,54,57,60,63,64,67,70,72
"86","CHAMBRAY TOURAINE HANDBALL","D1","2324","F",26,56,3,4,7,8,9,12,15,18,19,22,25,26,29,30,33,36,38,41,42,45,48,50,53,54,55,56
"87","ES BESANCON FEMININ","D1","2324","F",26,53,3,4,7,8,11,14,16,17,18,19,22,23,26,27,29,30,33,34,35,38,41,42,45,48,51,53
"88","HANDBALL PLAN DE CUQUES","D1","2324","F",26,54,1,2,5,8,11,12,13,16,19,20,23,24,27,29,32,35,36,37,40,41,44,46,49,50,53,54
"89","JDA BOURGOGNE DIJON HANDBALL","D1","2324","F",26,56,3,5,6,9,10,11,13,16,18,19,20,23,26,29,31,32,33,36,37,38,41,44,47,50,53,56
"90","LES NEPTUNES DE NANTES","D1","2324","F",26,64,3,6,9,10,13,16,17,20,23,26,29,32,33,36,39,40,43,46,49,50,51,54,57,60,61,64
"91","MERIGNAC HANDBALL","D1","2324","F",26,40,1,2,3,4,7,8,11,12,14,17,18,19,20,23,24,25,26,27,30,31,32,33,34,35,37,40
"92","METZ HANDBALL","D1","2324","F",26,76,3,6,9,12,15,18,21,24,27,30,33,36,37,40,43,46,49,52,55,58,61,64,67,70,73,76
"93","OGC NICE COTE D'AZUR HANDBALL","D1","2324","F",26,44,3,5,6,7,8,11,12,15,16,17,18,19,20,21,22,25,28,31,34,35,36,37,38,39,41,44
"94","PARIS","D1","2324","F",26,62,1,4,7,10,13,14,17,18,21,24,27,30,33,34,37,40,41,44,47,50,53,56,57,60,61,62
"95","ST AMAND HANDBALL - PORTE DU HAINAUT","D1","2324","F",26,37,1,2,3,6,7,10,11,12,15,16,17,18,19,21,22,23,26,27,28,31,32,33,34,35,36,37
"96","STELLA SAINT-MAUR HANDBALL","D1","2324","F",26,35,1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20,22,23,24,27,28,29,30,31,32,35
"97","STRASBOURG ACHENHEIM TRUCHTERSHEIM HANDBALL","D1","2324","F",26,39,1,2,3,6,7,8,9,10,11,14,15,18,19,22,23,24,25,26,27,28,29,31,34,35,38,39
"98","TOULON METROPOLE VAR HANDBALL","D1","2324","F",26,37,1,4,5,6,7,8,11,12,13,14,15,18,21,22,23,24,25,26,27,28,29,31,32,35,36,37
"99","ASUL VAULX EN VELIN","D2","2324","F",24,38,1,2,3,3,4,5,8,10,11,14,15,18,19,20,21,24,25,28,28,29,30,33,34,35,36,38
"100","BOUILLARGUES HANDBALL NIMES METROPOLE","D2","2324","F",24,43,1,2,5,8,10,13,14,15,18,19,20,20,22,23,24,27,29,30,33,33,34,35,36,37,40,43
"101","CELLES SUR BELLE MELLOIS EN POITOU","D2","2324","F",24,57,3,6,7,10,11,11,12,15,16,19,22,25,28,31,34,37,40,41,44,45,48,51,53,53,56,57
"102","CLUB ATHLETIQUE BEGLAIS","D2","2324","F",24,53,3,6,6,7,10,13,16,19,22,23,24,25,28,29,29,31,33,34,35,38,41,44,45,47,50,53
"103","HANDBALL CLERMONT AUVERGNE METROPOLE","D2","2324","F",24,54,3,4,7,10,10,12,15,18,21,22,25,26,29,32,35,36,38,41,42,45,48,49,49,51,53,54
"104","HAVRE ATHLETIC CLUB HB","D2","2324","F",24,42,1,4,7,8,10,11,12,13,14,17,20,23,23,24,27,28,29,30,31,34,35,38,40,41,42,42
"105","LE POUZIN HB","D2","2324","F",24,37,0,1,4,5,7,8,9,11,12,13,14,15,16,19,20,22,23,23,24,25,28,29,32,34,36,37
"106","LOMME LILLE METROPOLE HB","D2","2324","F",24,40,1,1,2,3,4,5,6,7,8,9,12,14,17,20,23,23,25,26,27,28,29,32,35,36,37,40
"107","NOISY LE GRAND HANDBALL","D2","2324","F",24,53,3,6,7,8,11,13,16,19,22,25,25,26,27,30,33,34,34,35,38,41,42,43,44,47,50,53
"108","SAINT GREGOIRE RENNES METROPOLE HB","D2","2324","F",24,43,1,2,5,8,9,12,13,14,14,17,18,19,20,21,22,23,26,29,32,33,36,37,40,42,42,43
"109","SAMBRE AVESNOIS HANDBALL","D2","2324","F",24,69,3,6,9,12,15,18,21,24,27,27,30,33,36,39,40,43,46,49,52,55,55,57,60,63,66,69
"110","STADE PESSACAIS UNION CLUB HANDBALL","D2","2324","F",24,60,1,4,5,8,11,14,17,17,20,23,26,29,31,31,32,35,38,41,44,47,50,52,55,58,59,60
"111","TOULOUSE FEMININ HANDBALL","D2","2324","F",24,35,3,4,5,6,8,9,9,10,11,12,13,15,16,17,20,21,22,25,26,27,28,28,29,32,33,35
